Algorytm,Rozmiar_N,Uklad_Danych,Sredni_Czas_s,Srednie_Porownania,Srednie_Zamiany
ShellSort,400,descending,0.000761,5532,978
ShellSort,400,a_shaped,0.000812,6152,904
ShellSort,400,v_shaped,0.000786,6152,896
BubbleSort,500,random,0.016031,124206,62629
BubbleSort,500,ascending,0.000029,499,0
BubbleSort,500,descending,0.015773,124750,124725
BubbleSort,500,a_shaped,0.010813,124750,62488
BubbleSort,500,v_shaped,0.009474,93625,62235
HeapSort,500,random,0.001022,7421,4040
HeapSort,500,ascending,0.001068,7746,4333
HeapSort,500,descending,0.000908,7012,3682
HeapSort,500,a_shaped,0.001046,7623,4117
HeapSort,500,v_shaped,0.000833,6918,3689
MergeSort,500,random,0.000764,3856,0
MergeSort,500,ascending,0.000647,2272,0
MergeSort,500,descending,0.000587,2229,0
MergeSort,500,a_shaped,0.000600,2493,0
MergeSort,500,v_shaped,0.000598,2493,0
QuickSortIter,500,random,0.000542,4904,2922
QuickSortIter,500,ascending,0.000425,4304,2262
QuickSortIter,500,descending,0.000638,6797,4154
QuickSortIter,500,a_shaped,0.001105,14846,6700
QuickSortIter,500,v_shaped,0.002882,42041,21789
QuickSortRec,500,random,0.000598,4889,3171
QuickSortRec,500,ascending,0.000579,4854,2991
QuickSortRec,500,descending,0.000600,4986,3245
QuickSortRec,500,a_shaped,0.000575,4864,3026
QuickSortRec,500,v_shaped,0.000645,4833,3183
ShellSort,500,random,0.001734,15637,2731
ShellSort,500,ascending,0.000489,3981,0
ShellSort,500,descending,0.000914,7336,1490
ShellSort,500,a_shaped,0.001326,7952,1143
ShellSort,500,v_shaped,0.000967,7952,1149
BubbleSort,1000,random,0.045870,498333,245799
BubbleSort,1000,ascending,0.000058,999,0
BubbleSort,1000,descending,0.065295,499500,499445
BubbleSort,1000,a_shaped,0.049361,499500,249974
BubbleSort,1000,v_shaped,0.039255,374750,249474
HeapSort,1000,random,0.002091,16867,9094
HeapSort,1000,ascending,0.002202,17570,9695
HeapSort,1000,descending,0.001942,15967,8318
HeapSort,1000,a_shaped,0.002094,17271,9242
HeapSort,1000,v_shaped,0.001904,15813,8370
MergeSort,1000,random,0.001598,8693,0
MergeSort,1000,ascending,0.001493,5044,0
MergeSort,1000,descending,0.001312,4959,0
MergeSort,1000,a_shaped,0.001334,5488,0
MergeSort,1000,v_shaped,0.001314,5487,0
QuickSortIter,1000,random,0.001161,11170,6484
QuickSortIter,1000,ascending,0.000945,9597,5016
QuickSortIter,1000,descending,0.001485,15908,9608
QuickSortIter,1000,a_shaped,0.003921,50493,23487
QuickSortIter,1000,v_shaped,0.012149,164237,85071
QuickSortRec,1000,random,0.001300,11140,6762
QuickSortRec,1000,ascending,0.001199,10685,6450
QuickSortRec,1000,descending,0.001231,10842,6647
QuickSortRec,1000,a_shaped,0.001244,10956,6934
QuickSortRec,1000,v_shaped,0.001259,11321,6867
ShellSort,1000,random,0.004551,39369,6680
ShellSort,1000,ascending,0.001087,8968,0
ShellSort,1000,descending,0.002190,17403,2964
ShellSort,1000,a_shaped,0.002201,17925,2513
ShellSort,1000,v_shaped,0.002194,17925,2520
BubbleSort,2000,random,0.219219,1997366,996576
BubbleSort,2000,ascending,0.000124,1999,0
BubbleSort,2000,descending,0.276259,1999000,1998903
BubbleSort,2000,a_shaped,0.239853,1999000,999950
BubbleSort,2000,v_shaped,0.186203,1499500,998951
HeapSort,2000,random,0.010572,37702,20164
HeapSort,2000,ascending,0.005361,39216,21378
HeapSort,2000,descending,0.004726,35974,18714
HeapSort,2000,a_shaped,0.005082,38568,20510
HeapSort,2000,v_shaped,0.004722,35512,18660
MergeSort,2000,random,0.003752,19414,0
MergeSort,2000,ascending,0.002949,11088,0
MergeSort,2000,descending,0.003329,10911,0
MergeSort,2000,a_shaped,0.003941,11976,0
MergeSort,2000,v_shaped,0.003283,11975,0
QuickSortIter,2000,random,0.002929,24794,14830
QuickSortIter,2000,ascending,0.002320,21173,11018
QuickSortIter,2000,descending,0.003591,36392,21844
QuickSortIter,2000,a_shaped,0.013358,169988,81277
QuickSortIter,2000,v_shaped,0.066622,654404,337210
QuickSortRec,2000,random,0.003239,24912,15089
QuickSortRec,2000,ascending,0.002959,24596,15543
QuickSortRec,2000,descending,0.003639,24497,15054
QuickSortRec,2000,a_shaped,0.003070,24588,14896
QuickSortRec,2000,v_shaped,0.007570,24871,14536
ShellSort,2000,random,0.012677,99009,16397
ShellSort,2000,ascending,0.002655,19943,0
ShellSort,2000,descending,0.005240,38228,6167
ShellSort,2000,a_shaped,0.005332,39874,5572
ShellSort,2000,v_shaped,0.006166,39874,5586
BubbleSort,3000,random,0.511278,4493701,2234899
BubbleSort,3000,ascending,0.000188,2999,0
BubbleSort,3000,descending,0.637523,4498500,4498348
BubbleSort,3000,a_shaped,0.486758,4498500,2249922
BubbleSort,3000,v_shaped,0.407320,3374250,2248424
HeapSort,3000,random,0.010850,60248,32093
HeapSort,3000,ascending,0.008672,62866,34194
HeapSort,3000,descending,0.008328,57544,29750
HeapSort,3000,a_shaped,0.013513,61144,32374
HeapSort,3000,v_shaped,0.008244,57129,29952
MergeSort,3000,random,0.006196,30924,0
MergeSort,3000,ascending,0.004957,18076,0
MergeSort,3000,descending,0.004918,16928,0
